Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"June 4, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 4, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
DF cost,Yes,THB 240.00,THB 240.00,On duty,"June 4, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,200.00","THB 1,200.00",Top up,"June 7, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 7, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
DF cost,Yes,THB 300.00,THB 300.00,On duty,"June 7, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"June 15, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),💉TTCM_JUN24 (https://app.notion.com/p/TTCM_JUN24-59b1ad4882f0453ea789fc3dc6cbed22?pvs=21)
Palli,Yes,"THB 1,500.00","THB 1,500.00",Top up,"June 5, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"June 10, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 10, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
