Expense,Amount,Category,Checkbox,Date,Monthly Overview,Wallet
เก๊กฮวย,THB 100.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 1, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 50.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 2, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
ป้าเครือ,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 3, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 50.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 3, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 4, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 4, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 45.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 5, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 110.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 5, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 190.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 5, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 124.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 6, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 175.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 6, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 259.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 6, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 130.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 6, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 8, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 100.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 8, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 45.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 9, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 115.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 10, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Tenshin,THB 225.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 10, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Seven,THB 74.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 10, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 65.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 11, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
ปลาแกะ,THB 119.40,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 11, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
ค่าเวร,THB 300.00,📖Education_JAN24 (https://app.notion.com/p/Education_JAN24-a5bb3469cb8a4b88938ad64a709ebb49?pvs=21),No,"January 12, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Fresh and mild,THB 104.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 12, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 12, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
เครื่องบินไป KKC,"THB 4,343.80",✈️Travel_JAN24 (https://app.notion.com/p/Travel_JAN24-9db522856dc14098be7e86f7756c9c85?pvs=21),No,"January 12, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 13, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
ติ่มซำ,THB 167.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 13, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
รังนก,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 13, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
สลัดคุณนาย,THB 124.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 14, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 106.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 14, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 70.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 15, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 119.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 15, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 110.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 16, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 17.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 17, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 95.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 17, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 17, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 55.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 18, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 71.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 18, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
ทรายแมว,"THB 1,078.00",🐱Cat_JAN24 (https://app.notion.com/p/Cat_JAN24-31521ccc59d541469877954e7d14fecd?pvs=21),No,"January 18, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Coffee,THB 820.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 18, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Food,THB 52.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 19, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Case ipad,THB 990.00,❤️Lover_JAN24 (https://app.notion.com/p/Lover_JAN24-dd35dfee3cdb4ced9422c4dd08be4da8?pvs=21),No,"January 19, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 50.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 20, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 70.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 20, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
กระเพรา,THB 49.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 21, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
กวง,THB 130.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 21, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 94.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 21, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 55.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 22, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Mini-story,THB 60.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 22, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 22, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 53.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 23, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Lineman ผัดไท,THB 136.90,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 23, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 24, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 57.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 24, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 110.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 24, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 45.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 25, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 55.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 25, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Adirak,THB 300.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 27, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
กระเพรากระด้ง,THB 120.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 27, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Wawee,THB 75.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 28, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 28, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 40.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 29, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 20.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 29, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 145.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 29, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 45.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 30, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 55.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 30, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Seven,THB 163.25,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 30, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 50.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 31, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Food,THB 100.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 31, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Online banking
Shopping,THB 98.00,🛍️Shopping_JAN24 (https://app.notion.com/p/Shopping_JAN24-385a139944e1420198f56f0b2ff94277?pvs=21),No,"January 31, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Food,THB 148.00,🍴Eating_JAN24 (https://app.notion.com/p/Eating_JAN24-6cfa7aa2300e40058e4cdf2405c3b3c1?pvs=21),No,"January 31, 2024",January 24 (https://app.notion.com/p/January-24-56441661139340d5bd5b135efbc2b05b?pvs=21),Credit card
Food,THB 52.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 1, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 50.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 1, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 32.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 1, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Shopping,THB 866.00,🛍️Shopping_FEB24 (https://app.notion.com/p/Shopping_FEB24-85aed0f98d814ddda1f333e1da5a4aa3?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
Food,THB 70.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 90.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Salad concepts,THB 417.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Watson,THB 837.50,🛍️Shopping_FEB24 (https://app.notion.com/p/Shopping_FEB24-85aed0f98d814ddda1f333e1da5a4aa3?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
Film กันรอย,THB 990.00,🛍️Shopping_FEB24 (https://app.notion.com/p/Shopping_FEB24-85aed0f98d814ddda1f333e1da5a4aa3?pvs=21),No,"February 2, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Case S22u,THB 993.00,🛍️Shopping_FEB24 (https://app.notion.com/p/Shopping_FEB24-85aed0f98d814ddda1f333e1da5a4aa3?pvs=21),No,"February 3, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
Oil,THB 900.00,🛢️Transportation_FEB24 (https://app.notion.com/p/Transportation_FEB24-610b9b04bfa4446999d09600da33c34d?pvs=21),No,"February 3, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
หอมเชย,THB 575.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 3, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
ของฝาก,THB 100.00,❤️Lover_FEB24 (https://app.notion.com/p/Lover_FEB24-3371b15d76024c6b9961227614256d0a?pvs=21),No,"February 4, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
วินมอไซค์,THB 120.00,🛢️Transportation_FEB24 (https://app.notion.com/p/Transportation_FEB24-610b9b04bfa4446999d09600da33c34d?pvs=21),No,"February 4, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
ตัดผม,THB 130.00,💊Health & Fitness_FEB24 (https://app.notion.com/p/Health-Fitness_FEB24-cb82e3fe4abf426880b991ae1895eb87?pvs=21),No,"February 4, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),
Food,THB 65.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 4, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
Food,THB 42.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 5, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 65.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 5, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 50.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 6, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 50.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 6, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 147.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 6, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Credit card
Food,THB 195.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 7, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 65.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 8, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 50.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 8, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 220.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 8, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 260.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 8, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 50.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 9, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Seven,THB 120.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 10, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 180.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 10, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
Food,THB 69.00,🍴Eating_FEB24 (https://app.notion.com/p/Eating_FEB24-3bf74b159c7e4f89adb6b592b4c2dc1b?pvs=21),No,"February 10, 2024",February 24 (https://app.notion.com/p/February-24-3a420e7c86924500b97cd47003e31126?pvs=21),Online banking
