Expense,Amount,Category,Checkbox,Date,Monthly Overview,Wallet
ฮ้านถึงเชียงใหม่,THB 165.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 9, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Seoul mind,THB 106.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 9, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Oatside,THB 677.82,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Bluekoff,THB 337.55,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Durex,THB 244.63,Health & Fitness_OCT23 (https://app.notion.com/p/Health-Fitness_OCT23-acbace6911144bfda918674649d7ae8e?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
ป้าเครือ,THB 40.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Mini story,THB 60.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าวผัดหมู,THB 85.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Yuzu,THB 660.00,Cat_OCT23 (https://app.notion.com/p/Cat_OCT23-ba875a391fb245c1b20e4a6dc5ef6183?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Water,THB 7.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Seven,THB 45.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพราหมูสับไข่ดาว,THB 47.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 11, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Sasaki,THB 57.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 11, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
